,Unnamed: 0,Kommun_code,Year,Revenue,Employee,Population,Population_University,Percent_University,Productivity,SalesIndex,Infrast,Border
130,131,1380,2010,3196,1437,91800,11604,0.12640523,111.46121000000001,329.311851,0,0
131,132,1381,2010,316,210,23390,1851,0.07913638,75.41219,32.560246,0,0
132,133,1382,2010,4395,2035,41008,3396,0.08281311,108.23513,452.85531399999996,0,0
133,134,1383,2010,1639,1109,58084,6151,0.10589835,74.06639,168.88051399999998,0,0
134,135,1384,2010,2139,1038,75025,10461,0.13943352,103.2731,220.39989,0,0
135,136,1401,2010,220,160,34463,5137,0.14905841,68.90908,22.668525,0,0
136,137,1402,2010,1123,665,35084,5215,0.14864326,84.63147,115.71251799999999,0,0
137,138,1407,2010,99,54,12449,1310,0.10522934,91.87878,10.200836,0,0
138,139,1415,2010,708,390,24292,2675,0.11011856,90.97926,72.951436,0,0
139,140,1419,2010,90,76,14955,1642,0.10979605,59.347530000000006,9.273488,0,0
140,141,1421,2010,259,115,15221,1427,0.09375205,112.86926000000001,26.687037,0,0
141,142,1427,2010,182,100,9052,846,0.09346001,91.21056999999999,18.753053,0,0
142,143,1430,2010,135,59,10181,636,0.06246931,114.67151000000001,13.910231,0,0
143,144,1435,2010,254,173,12370,1097,0.08868229999999999,73.58027,26.171843,0,1
144,145,1438,2010,112,42,4692,301,0.06415175,133.64186,11.540339999999999,0,1
145,146,1439,2010,30,41,6654,395,0.05936279,36.67002,3.091163,0,0
146,147,1440,2010,140,114,27442,2368,0.08629109,61.545590000000004,14.425425,0,0
147,148,1441,2010,328,239,38580,5239,0.13579575,68.77803,33.796711,0,0
148,149,1442,2010,125,58,10943,819,0.07484236,108.00797,12.879844,0,0
149,150,1443,2010,68,46,8375,815,0.09731343,74.08407,7.006635,0,0
150,151,1444,2010,67,37,5776,427,0.07392659,90.75004,6.903596,0,0
151,152,1445,2010,59,29,5564,323,0.05805176,101.95952,6.079286,0,0
152,153,1446,2010,30,16,6752,715,0.10589455,93.96693,3.091163,0,0
153,154,1447,2010,39,22,5291,307,0.05802306,88.84146,4.018511,0,0
154,155,1452,2010,98,52,11587,746,0.06438250000000001,94.44881,10.097798,0,0
155,156,1460,2010,121,52,9791,604,0.06168931,116.61537,12.467689,0,0
156,157,1461,2010,182,107,9179,585,0.06373243,85.24351999999999,18.753053,0,0
157,158,1462,2010,55,39,12578,775,0.06161552,70.67598000000001,5.6671309999999995,0,0
158,159,1463,2010,713,432,33845,2740,0.08095731,82.7141,73.46663000000001,0,0
159,160,1465,2010,108,82,10288,575,0.05589036,66.00604,11.128185,0,0
160,161,1466,2010,74,46,9314,649,0.06968005,80.6209,7.624867999999999,0,0
161,162,1470,2010,225,131,15762,962,0.06103286,86.07658,23.183719,0,0
162,163,1471,2010,178,68,13223,1038,0.07849958,131.1852,18.340898000000003,0,0
163,164,1472,2010,187,89,10560,712,0.06742424,105.29926999999999,19.268247,0,0
164,165,1473,2010,95,44,9113,588,0.06452321,108.20433999999999,9.788681,0,0
165,166,1481,2010,3512,1487,60973,9962,0.16338379,118.36336000000001,361.872096,0,0
166,167,1482,2010,770,406,41241,4680,0.1134793,95.04701,79.339839,0,0
167,168,1484,2010,204,136,14521,1359,0.09358860000000001,75.17354,21.019904999999998,1,0
168,169,1485,2010,2309,1010,51868,5727,0.11041489999999998,114.57143,237.91647799999998,0,0
169,170,1486,2010,1281,667,11808,1071,0.09070122,96.24918000000001,131.992641,0,1
170,171,1487,2010,473,266,36857,3954,0.10727949,89.1155,48.73733,0,0
171,172,1488,2010,2004,1038,55248,5812,0.10519838,96.75516,206.48965900000002,0,0
172,173,1489,2010,1065,719,37796,4554,0.12048894,74.23257,109.736271,0,0
173,174,1490,2010,3365,1486,103294,10919,0.10570798,113.48541000000002,346.7254,0,0
174,175,1491,2010,635,440,22838,1957,0.08569052,72.32606,65.42960699999999,0,0
175,176,1492,2010,277,134,12295,974,0.07921919,103.59737,28.541734,0,0
176,177,1493,2010,566,345,23741,2202,0.09275094,82.21879,58.319933999999996,0,0
177,178,1494,2010,998,519,38048,4100,0.10775862,96.36891,102.832674,0,0
178,179,1495,2010,346,361,18314,1660,0.09064104,48.03333,35.651408,0,0
179,180,1496,2010,2438,1027,51402,6315,0.12285514,118.96988,251.208477,0,0
180,181,1497,2010,101,52,8841,865,0.09783961,97.3401,10.406914,0,0
181,182,1498,2010,126,80,12572,807,0.06419026,78.93222,12.982883000000001,0,0
182,183,1499,2010,586,328,31513,2657,0.08431441,89.53596999999999,60.380708999999996,0,0
183,184,1715,2010,66,45,11706,1048,0.08952674,73.50301999999999,6.8005580000000005,0,0
184,185,1730,2010,626,271,8524,426,0.04997654,115.76541,64.502259,0,1
185,186,1737,2010,194,103,12414,866,0.06975995,94.39267,19.989518,0,1
186,187,1760,2010,11,10,4273,250,0.058506899999999994,55.127269999999996,1.133426,0,0
187,188,1761,2010,40,62,14926,2179,0.14598687,32.33271,4.12155,0,0
188,189,1762,2010,15,18,3771,174,0.04614161,41.76308,1.5455809999999999,0,0
189,190,1763,2010,65,44,11266,913,0.0810403,74.03455,6.697519000000001,0,0
190,191,1764,2010,28,37,9091,502,0.05521945,37.92539,2.8850849999999997,0,0
191,192,1765,2010,439,239,9855,573,0.05814307,92.05351999999999,45.234012,0,1
192,193,1766,2010,216,131,13255,1052,0.07936628,82.63351,22.25637,0,0
193,194,1781,2010,370,173,23808,2184,0.09173387,107.18386000000001,38.124338,0,0
194,195,1782,2010,71,48,10562,534,0.05055861,74.12947,7.315751,0,0
195,196,1783,2010,135,87,12480,770,0.06169872,77.76573,13.910231,0,0
196,197,1784,2010,509,282,26034,2375,0.09122686,90.45705,52.446725,0,1
197,198,1785,2010,274,159,15547,1094,0.07036727,86.3629,28.232618,0,0
198,199,1814,2010,80,41,7134,625,0.08760863,97.78671999999999,8.2431,0,0
199,200,1860,2010,32,38,5686,271,0.04766092,42.202690000000004,3.29724,0,0
200,201,1861,2010,102,43,15275,1006,0.06585925,118.87908999999999,10.509953,1,0
201,202,1862,2010,56,27,9641,483,0.05009854,103.94367,5.770169999999999,0,0
202,203,1863,2010,52,33,7220,368,0.05096953,78.97019,5.358015,0,0
203,204,1864,2010,51,24,4931,266,0.05394443,106.49585,5.254976,0,0
204,205,1880,2010,6228,2995,135460,19516,0.14407205,104.21387,641.725346,0,0
205,206,1881,2010,152,98,20456,1598,0.07811889,77.73047,15.66189,0,0
206,207,1882,2010,126,65,11278,809,0.07173258,97.14735,12.982883000000001,0,0
